uuid,predator_scientific_name,prey_scientific_name,observed_on,time_observed_at,place,place_town,place_county,place_state,place_country,latitude,longitude,special_feeding,url,image_url,predator_quality,prey_quality
6662b18b-6343-460b-90e8-d494df9766e8,Mus musculus,Pachyptila vittata,2006-07-01,,Gough Island,,Tristan da Cunha,Tristan da Cunha,Saint Helena,-40.349431,-9.880431,"No, none of these",http://www.inaturalist.org/observations/10686,https://static.inaturalist.org/photos/22224/medium.JPG,research,research
8900f5f2-3c54-4397-b215-7033ab0c0e4b,Lycophidion capense,Mochlus sundevallii,1988-07-13,,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-15.836848,29.146428,,http://www.inaturalist.org/observations/414645,https://inaturalist-open-data.s3.amazonaws.com/photos/521779/medium.jpg,research,research
f71bf6a5-7cc2-49c3-b5dd-df5716f5cb32,Lycophidion capense,Mochlus sundevallii,1988-07-13,,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-15.836848,29.146428,,http://www.inaturalist.org/observations/414707,https://inaturalist-open-data.s3.amazonaws.com/photos/521820/medium.jpg,research,research
4b178d06-2eb0-4d39-aa4b-4b7c33e85972,Lutra capensis capensis,Actinopterygii,2013-07-02,,"Mashonaland East, ZW",,Goromonzi,Mashonaland East,Zimbabwe,-17.6235693922,31.2169222415,,http://www.inaturalist.org/observations/465679,https://inaturalist-open-data.s3.amazonaws.com/photos/587403/medium.jpg,research,needs_id
aac5dd6f-a67f-4396-a835-a16a411fbf1e,Dendroaspis polylepis,Ploceus cucullatus,1988-01-02,1988-01-02 06:30:00 UTC,Kariba,,Kariba,Mashonaland West,Zimbabwe,-16.533578,28.795252,,http://www.inaturalist.org/observations/509046,https://inaturalist-open-data.s3.amazonaws.com/photos/649315/medium.jpg,research,research
c0a27015-4f91-4657-b7d6-64e4151f3bf6,Chamaeleo namaquensis,Tenebrionidae,2009-07-08,2009-07-08 15:07:23 UTC,Swakopmund,,Walvisbay Rural,Erongo,Namibia,-22.873645,14.580917,,http://www.inaturalist.org/observations/518909,https://inaturalist-open-data.s3.amazonaws.com/photos/661138/medium.JPG,research,needs_id
cf88b2bd-89a9-4193-bc2b-6387c695acb9,Psammophis mossambicus,Gallus gallus domesticus,1979-11-15,1979-11-15 13:45:00 UTC,Matusadona National Park,,Kariba,Mashonaland West,Zimbabwe,-16.817815,28.44992,,http://www.inaturalist.org/observations/526854,https://inaturalist-open-data.s3.amazonaws.com/photos/670436/medium.jpg,research,casual
8a3c487c-80f8-464e-88f7-306f848cfc75,Philematium virens,Ziziphus,2014-03-20,2014-03-20 06:25:45 UTC,"TCT Dalmann Catapu, Mozambique",,Cheringoma,Sofala,Mozambique,-18.086683,35.182027,,http://www.inaturalist.org/observations/608490,https://inaturalist-open-data.s3.amazonaws.com/photos/767186/medium.jpg,research,needs_id
27e91f4f-b75f-46b8-b719-08b249347534,Pedinorrhina trivittata,Ziziphus,2014-03-20,2014-03-20 06:19:36 UTC,"TCT Dalmann Catapu, Mozambique",,Cheringoma,Sofala,Mozambique,-18.086715,35.18193,,http://www.inaturalist.org/observations/613295,https://inaturalist-open-data.s3.amazonaws.com/photos/773078/medium.jpg,research,needs_id
4af8ee6a-6a67-49f5-93d7-e6194938f476,Papilio nireus,Ziziphus,2014-03-18,2014-03-18 13:05:06 UTC,"TCT Dalmann Catapu, Mozambique",,Cheringoma,Sofala,Mozambique,-18.040483,35.202191,,http://www.inaturalist.org/observations/613368,https://inaturalist-open-data.s3.amazonaws.com/photos/773134/medium.jpg,research,needs_id
