species_a_taxon_id,species_a_common_name,species_a_scientific_name,species_a_iconic_taxon,species_b_taxon_id,species_b_common_name,species_b_scientific_name,species_b_iconic_taxon
132429.0,Garden Locust,Acanthacris ruficornis,Insecta,625887.0,Southern Brown-hooded Kingfisher,Halcyon albiventris albiventris,Aves
94105.0,European Eel,Anguilla anguilla,Actinopterygii,4943.0,Little Egret,Egretta garzetta,Aves
94105.0,European Eel,Anguilla anguilla,Actinopterygii,59202.0,Yellow-legged Gull,Larus michahellis,Aves
244845.0,California Bee Assassin,Apiomerus californicus,Insecta,47219.0,Western Honey Bee,Apis mellifera,Insecta
62292.0,showy milkweed,Asclepias speciosa,Plantae,47226.0,Western Tiger Swallowtail,Papilio rutulus,Insecta
208507.0,African Babul Blue,Azanus jesous,Insecta,129706.0,aroma,Dichrostachys cinerea,Plantae
339996.0,African Common White,Belenois creona severina,Insecta,199400.0,Siam weed,Chromolaena odorata,Plantae
1020324.0,Colorado Black-notched Bumble Bee,Bombus bifarius,Insecta,79155.0,velvety goldenrod,Solidago velutina,Plantae
199400.0,Siam weed,Chromolaena odorata,Plantae,425070.0,,Delta fenestrale,Insecta
199400.0,Siam weed,Chromolaena odorata,Plantae,676794.0,Common Dotted Border,Mylothris agathina agathina,Insecta
199400.0,Siam weed,Chromolaena odorata,Plantae,1482308.0,Dancing Amber,Telchinia serena,Insecta
1986.0,Greater Roadrunner,Geococcyx californianus,Aves,127169.0,Great Ash Sphinx,Sphinx chersis,Insecta
556916.0,Mnondo,Julbernardia globiflora,Plantae,1038903.0,,Pilostyles aethiopica,Plantae
144514.0,Laughing Gull,Leucophaeus atricilla,Aves,56047.0,Hogchoker,Trinectes maculatus,Actinopterygii
343067.0,Fever Tea,Lippia javanica,Plantae,676794.0,Common Dotted Border,Mylothris agathina agathina,Insecta
85034.0,Spotted Orbweaver,Neoscona crucifera,Arachnida,767707.0,Greenhouse Camel Cricket,Tachycines asynamorus,Insecta
