uuid,observed_on,time_observed_at,url,image_url,description,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,partner_observation_url,partner_ids,partner_id_split,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_id,predator_taxon_species_name,predator_taxon_kingdom_name,predator_quality_grade,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_id,prey_taxon_species_name,prey_taxon_kingdom_name,prey_quality_grade,role
6662b18b-6343-460b-90e8-d494df9766e8,2006-07-01,,http://www.inaturalist.org/observations/10686,https://static.inaturalist.org/photos/22224/medium.JPG,House mice on Gough Island have learnt to eat seabirds. Even Albatrosses are now threatened with extinction from mouse predation!,Gough Island,-40.349431,-9.880431,,Tristan da Cunha,Tristan da Cunha,Saint Helena,"No, none of these",https://www.inaturalist.org/observations/1766953,1766953,1766953,10686.0,Mus musculus,House Mouse,Mammalia,44705.0,Mus musculus,Animalia,research,1766953.0,Pachyptila vittata,Broad-billed Prion,Aves,4159.0,Pachyptila vittata,Animalia,research,
8900f5f2-3c54-4397-b215-7033ab0c0e4b,1988-07-13,,http://www.inaturalist.org/observations/414645,https://inaturalist-open-data.s3.amazonaws.com/photos/521779/medium.jpg,found lying in open on short grass. Cause of death unknown but during latter part of night.Tail damaged which made subcaudal count inexact but 28 considered very close.,Mana Pools National Park,-15.836848,29.146428,,Hurungwe,Mashonaland West,Zimbabwe,,https://www.inaturalist.org/observations/414707,414707,414707,414645.0,Lycophidion capense,Cape Wolf Snake,Reptilia,29508.0,Lycophidion capense,Animalia,research,414707.0,Mochlus sundevallii,Sundevall's Writhing Skink,Reptilia,37932.0,Mochlus sundevallii,Animalia,research,
f71bf6a5-7cc2-49c3-b5dd-df5716f5cb32,1988-07-13,,http://www.inaturalist.org/observations/414707,https://inaturalist-open-data.s3.amazonaws.com/photos/521820/medium.jpg,Refers to record of Cape Wolf Snake this date & locality. Found in snake's stomach,Mana Pools National Park,-15.836848,29.146428,,Hurungwe,Mashonaland West,Zimbabwe,,https://www.inaturalist.org/observations/414645,414645,414645,414645.0,,Cape Wolf Snake,Reptilia,29508.0,Lycophidion capense,Animalia,research,414707.0,Mochlus sundevallii,Sundevall's Writhing Skink,Reptilia,37932.0,Mochlus sundevallii,Animalia,research,
4b178d06-2eb0-4d39-aa4b-4b7c33e85972,2013-07-02,,http://www.inaturalist.org/observations/465679,https://inaturalist-open-data.s3.amazonaws.com/photos/587403/medium.jpg,a pair fishing in stream,"Mashonaland East, ZW",-17.6235693922,31.2169222415,,Goromonzi,Mashonaland East,Zimbabwe,,https://www.inaturalist.org/observations/66466718,66466718,66466718,465679.0,Lutra capensis capensis,Cape Clawless Otter,Mammalia,1638850.0,Lutra capensis,Animalia,research,66466718.0,Actinopterygii,Ray-finned Fishes,Actinopterygii,47178.0,,Animalia,needs_id,
aac5dd6f-a67f-4396-a835-a16a411fbf1e,1988-01-02,1988-01-02 06:30:00 UTC,http://www.inaturalist.org/observations/509046,https://inaturalist-open-data.s3.amazonaws.com/photos/649315/medium.jpg,"
",Kariba,-16.533578,28.795252,,Kariba,Mashonaland West,Zimbabwe,,https://www.inaturalist.org/observations/66466454,66466454,66466454,509046.0,Dendroaspis polylepis,Black Mamba,Reptilia,30405.0,Dendroaspis polylepis,Animalia,research,66466454.0,Ploceus cucullatus,Village Weaver,Aves,13796.0,Ploceus cucullatus,Animalia,research,
c0a27015-4f91-4657-b7d6-64e4151f3bf6,2009-07-08,2009-07-08 15:07:23 UTC,http://www.inaturalist.org/observations/518909,https://inaturalist-open-data.s3.amazonaws.com/photos/661138/medium.JPG,Namaqua Chameleon,Swakopmund,-22.873645,14.580917,,Walvisbay Rural,Erongo,Namibia,,https://www.inaturalist.org/observations/66466205,66466205,66466205,518909.0,Chamaeleo namaquensis,Namaqua Chameleon,Reptilia,32830.0,Chamaeleo namaquensis,Animalia,research,66466205.0,Tenebrionidae,Darkling Beetles,Insecta,53816.0,,Animalia,needs_id,
cf88b2bd-89a9-4193-bc2b-6387c695acb9,1979-11-15,1979-11-15 13:45:00 UTC,http://www.inaturalist.org/observations/526854,https://inaturalist-open-data.s3.amazonaws.com/photos/670436/medium.jpg,"near chicken run/kitchen, caught 10 day old bantam chick",Matusadona National Park,-16.817815,28.44992,,Kariba,Mashonaland West,Zimbabwe,,https://www.inaturalist.org/observations/66465985,66465985,66465985,526854.0,Psammophis mossambicus,Olive Whip Snake,Reptilia,56629.0,Psammophis mossambicus,Animalia,research,66465985.0,Gallus gallus domesticus,Domestic Chicken,Aves,505478.0,Gallus gallus,Animalia,casual,
8a3c487c-80f8-464e-88f7-306f848cfc75,2014-03-20,2014-03-20 06:25:45 UTC,http://www.inaturalist.org/observations/608490,https://inaturalist-open-data.s3.amazonaws.com/photos/767186/medium.jpg,,"TCT Dalmann Catapu, Mozambique",-18.086683,35.182027,,Cheringoma,Sofala,Mozambique,,https://www.inaturalist.org/observations/66465198,66465198,66465198,608490.0,Philematium virens,,Insecta,349081.0,Philematium virens,Animalia,research,66465198.0,Ziziphus,Jujubes,Plantae,49042.0,,Plantae,needs_id,
27e91f4f-b75f-46b8-b719-08b249347534,2014-03-20,2014-03-20 06:19:36 UTC,http://www.inaturalist.org/observations/613295,https://inaturalist-open-data.s3.amazonaws.com/photos/773078/medium.jpg,,"TCT Dalmann Catapu, Mozambique",-18.086715,35.18193,,Cheringoma,Sofala,Mozambique,,https://www.inaturalist.org/observations/66465198,66465198,66465198,613295.0,Pedinorrhina trivittata,Yellowheart Fruit Chafer,Insecta,349342.0,Pedinorrhina trivittata,Animalia,research,66465198.0,Ziziphus,Jujubes,Plantae,49042.0,,Plantae,needs_id,
4af8ee6a-6a67-49f5-93d7-e6194938f476,2014-03-18,2014-03-18 13:05:06 UTC,http://www.inaturalist.org/observations/613368,https://inaturalist-open-data.s3.amazonaws.com/photos/773134/medium.jpg,,"TCT Dalmann Catapu, Mozambique",-18.040483,35.202191,,Cheringoma,Sofala,Mozambique,,https://www.inaturalist.org/observations/66464630,66464630,66464630,613368.0,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,203122.0,Papilio nireus,Animalia,research,66464630.0,Ziziphus,Jujubes,Plantae,49042.0,,Plantae,needs_id,
