predator_scientific_name,predator_taxon_kingdom,prey_scientific_name,prey_taxon_kingdom,is_carnivorous_plant,valid_eats_prey,My Remarks,Need to check?,Type of Feeding
Pandion haliaetus,Animalia,Abramis brama,Animalia,,,,,
Polyrhachis schistacea,Animalia,Abrus laevigatus,Plantae,,,,,
Diplognatha gagates,Animalia,Abutilon,Plantae,,,,,
Hycleus trifasciatus,Animalia,Abutilon,Plantae,,,,,
Menemerus bivittatus,Animalia,Acalyptratae,Animalia,,,,,
Peucetia viridans,Animalia,Acalyptratae,Animalia,,,,,
Steatoda borealis,Animalia,Acanalonia conica,Animalia,,,,,
Steatoda triangulosa,Animalia,Acanalonia conica,Animalia,,,,,
Chamaeleo dilepis,Animalia,Acanthacris ruficornis,Animalia,,,,,
Halcyon albiventris albiventris,Animalia,Acanthacris ruficornis,Animalia,,,,,
Myiarchus crinitus,Animalia,Acanthocephala terminalis,Animalia,,,,,
Piranga olivacea,Animalia,Acanthocephala terminalis,Animalia,,,,,
Trachylepis striata,Animalia,Acanthocercus atricollis,Animalia,,,,,
Cepphus columba,Animalia,Acanthogobius flavimanus,Animalia,,,,,
Egretta thula,Animalia,Acanthomorpha,Animalia,,,,,
Xylocopa,Animalia,Acanthus mollis,Plantae,,,,,
Aceria negundi,Animalia,Acer negundo,Plantae,,,,,
Acericecis ocellaris,Animalia,Acer rubrum,Plantae,,,,,
Aculus minutissimus,Animalia,Acer rubrum,Plantae,,,,,
Tamiasciurus hudsonicus,Animalia,Acer saccharinum,Plantae,,,,,
Allodus podophylli,Fungi,Podophyllum peltatum,Plantae,FALSE,TRUE,plant pathogenic infection (biotrophic plant parasite drawing nutrients from the host).,,Parasitism
Harpactes erythrocephalus annamensis,Animalia,Achaea,Animalia,FALSE,TRUE,,,
Halictus ligatus,Animalia,Achillea millefolium,Plantae,FALSE,TRUE,,,
Nemognatha nigripennis,Animalia,Achillea millefolium,Plantae,FALSE,TRUE,,,
Trichodes ornatus,Animalia,Achillea millefolium,Plantae,FALSE,TRUE,,,
Vanessa atalanta,Animalia,Achillea millefolium,Plantae,FALSE,TRUE,,,
Guttera edouardi edouard,Animalia,Achyropsis avicularis,Plantae,FALSE,TRUE,,,
Gonimbrasia zambesina,Animalia,Acokanthera oblongifolia,Plantae,FALSE,TRUE,,,
Argiope australis,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Argiope trifasciata,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Aviceda cuculoides,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Centropus burchellii burchellii,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Coracias garrulus semenowi,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Falco amurensis,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Ispidina picta natalensis,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Phidippus regius,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Sayornis saya,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Tockus rufirostris,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Trichonephila senegalensis,Animalia,Acrididae,Animalia,FALSE,TRUE,,,
Anthus cinnamomeus,Animalia,Acrididea,Animalia,FALSE,TRUE,,,
Passerculus sandwichensis,Animalia,Acrididea,Animalia,FALSE,FALSE,,,
Tyrannus verticalis,Animalia,Acrididea,Animalia,FALSE,TRUE,,,
Coracias garrulus semenowi,Animalia,Acridinae,Animalia,FALSE,TRUE,,,
Phidippus audax,Animalia,Acronicta interrupta,Animalia,,,,,
Strangalia luteicornis,Animalia,Actaea racemosa,Plantae,,,,,
Toxomerus geminatus,Animalia,Actaea racemosa,Plantae,,,,,
Agelenopsis,Animalia,Actias luna,Animalia,,,,,
Ardea cinerea,Animalia,Actinopterygii,Animalia,,,,,
Ardea herodias,Animalia,Actinopterygii,Animalia,,,,,
Cepphus columba,Animalia,Actinopterygii,Animalia,,,,,
Ceryle rudis,Animalia,Actinopterygii,Animalia,,,,,
Fratercula arctica,Animalia,Actinopterygii,Animalia,,,,,
Gygis alba candida,Animalia,Actinopterygii,Animalia,,,,,
Haliaeetus leucocephalus,Animalia,Actinopterygii,Animalia,,,,,
Larus argentatus,Animalia,Actinopterygii,Animalia,,,,,
Larus smithsonianus,Animalia,Actinopterygii,Animalia,,,,,
Lutra capensis capensis,Animalia,Actinopterygii,Animalia,,,,,
Megaceryle alcyon,Animalia,Actinopterygii,Animalia,,,,,
Nannopterum auritum,Animalia,Actinopterygii,Animalia,,,,,
Pandion haliaetus,Animalia,Actinopterygii,Animalia,,,,,
Pandion haliaetus carolinensis,Animalia,Actinopterygii,Animalia,,,,,
