uuid,observed_on,time_observed_at,url,image_url,description,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,partner_observation_url,partner_ids,partner_id_split,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_id,predator_taxon_species_name,predator_taxon_kingdom_name,predator_quality_grade,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_id,prey_taxon_species_name,prey_taxon_kingdom_name,prey_quality_grade,Verified?
e0f22f3f-4fdc-47a0-bdf5-eb8777b0ef61,1/18/2018,2018-01-18 20:04:01 UTC,https://www.inaturalist.org/observations/9522897,https://static.inaturalist.org/photos/12983778/medium.jpg,Shrike kill (Brown anole) impaled on a rose thorn,"8501 Spencer Hwy, Deer Park, TX, US",29.669595,-95.10631117,,Harris,Texas,United States,,https://www.inaturalist.org/observations/9522897,9522897,9522897,9522897,Lanius ludovicianus,Loggerhead Shrike,Aves,12024,Lanius ludovicianus,Animalia,research,9522897,Lanius ludovicianus,Loggerhead Shrike,Aves,12024,Lanius ludovicianus,Animalia,research,
f14002b1-86df-4690-aaa3-c51498464e5b,12/28/2018,2018-12-28 21:29:00 UTC,https://www.inaturalist.org/observations/19277228,https://inaturalist-open-data.s3.amazonaws.com/photos/29626926/medium.jpeg,With fish in its talons. ,"Crystal River, FL, USA",28.90733543,-82.62696089,,Citrus,Florida,United States,"No, none of these",https://www.inaturalist.org/observations/19277228,19277228,19277228,19277228,Pandion haliaetus,Osprey,Aves,116999,Pandion haliaetus,Animalia,research,19277228,Pandion haliaetus,Osprey,Aves,116999,Pandion haliaetus,Animalia,research,
064d87e5-6e6a-4cd8-b815-f320ac781445,5/15/2019,2019-05-15 11:52:00 UTC,https://www.inaturalist.org/observations/25191260,https://inaturalist-open-data.s3.amazonaws.com/photos/38993567/medium.jpeg,,"Langstaff, Markham, ON L3T, Canada",43.83066942,-79.41186771,,York,Ontario,Canada,Scavenging,https://www.inaturalist.org/observations/25189764,25189764,25189764,25191260,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017,Sciurus carolinensis,Animalia,research,25189764,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017,Sciurus carolinensis,Animalia,research,
9254cb05-1e40-4b82-9e03-8013f55d7ec9,7/6/2019,2019-07-06 10:36:00 UTC,https://www.inaturalist.org/observations/28488105,https://inaturalist-open-data.s3.amazonaws.com/photos/44413148/medium.jpg,,"Harare, Zimbabwe",-17.811561,31.080891,,Harare,Harare,Zimbabwe,,https://www.inaturalist.org/observations/28488105,28488105,28488105,28488105,Turdus libonyana,Kurrichane Thrush,Aves,201216,Turdus libonyana,Animalia,research,28488105,Turdus libonyana,Kurrichane Thrush,Aves,201216,Turdus libonyana,Animalia,research,
7314188c-5838-450b-a8ca-cefa479dbf25,9/14/2019,2019-09-14 07:25:00 UTC,https://www.inaturalist.org/observations/32936654,https://inaturalist-open-data.s3.amazonaws.com/photos/51695306/medium.jpg,pride of 8 young adults predated a warthog,"Hurungwe, ZW-MW, ZW",-16.17452947,29.55291847,,Hurungwe,Mashonaland West,Zimbabwe,,https://www.inaturalist.org/observations/32936654,32936654,32936654,32936654,Panthera leo melanochaita,Southern Lion,Mammalia,557401,Panthera leo,Animalia,research,32936654,Panthera leo melanochaita,Southern Lion,Mammalia,557401,Panthera leo,Animalia,research,
8e2a5182-9c60-4941-a049-bf7c7c7f5267,9/21/2019,2019-09-21 18:55:00 UTC,https://www.inaturalist.org/observations/39174754,https://static.inaturalist.org/photos/62114944/medium.jpg,"Eating a much larger unidentified scorpion.
https://www.inaturalist.org/observations/224658582","Uthukela DC, South Africa",-28.84665761,29.9887224,,Weenen,KwaZulu-Natal,South Africa,"No, none of these",https://www.inaturalist.org/observations/224658582,224658582,224658582,39174754,Uroplectes triangulifer,Highveld Lesser-Thicktail Scorpion,Arachnida,490718,Uroplectes triangulifer,Animalia,research,224658582,Uroplectes triangulifer,Highveld Lesser-Thicktail Scorpion,Arachnida,490718,Uroplectes triangulifer,Animalia,research,
cda00ea7-ecd6-4c98-b3b2-90e075fc0576,10/5/2020,2020-10-05 14:20:00 UTC,https://www.inaturalist.org/observations/61881019,https://inaturalist-open-data.s3.amazonaws.com/photos/99074921/medium.jpg,,"Harare, Zimbabwe",-17.811576,31.080917,,Harare,Harare,Zimbabwe,,https://www.inaturalist.org/observations/61881019,61881019,61881019,61881019,Hasarius adansoni,Adanson's House Jumper,Arachnida,347886,Hasarius adansoni,Animalia,research,61881019,Hasarius adansoni,Adanson's House Jumper,Arachnida,347886,Hasarius adansoni,Animalia,research,
66cea4da-79f5-42dc-b9c4-e8559b8e2e4a,10/11/2020,2020-10-11 05:05:00 UTC,https://www.inaturalist.org/observations/62278764,https://inaturalist-open-data.s3.amazonaws.com/photos/99765773/medium.jpeg,,"South Cape DC, South Africa",-33.92166667,22.05527778,,Mossel,Western Cape,South Africa,"No, none of these",https://www.inaturalist.org/observations/182451840,182451840,182451840,62278764,Afrorhytida kraussi kraussi,,Mollusca,1104024,Afrorhytida kraussi,Animalia,research,182451840,Afrorhytida kraussi kraussi,,Mollusca,1104024,Afrorhytida kraussi,Animalia,research,
c2f4874b-6967-4096-a7d1-5ff7902e668f,12/8/2020,2020-12-08 10:18:00 UTC,https://www.inaturalist.org/observations/66298610,https://inaturalist-open-data.s3.amazonaws.com/photos/106846306/medium.jpeg,,Garden Route Botanical Garden,-33.946765,22.464515,,George Greater Municipality and marine,Western Cape,South Africa,,https://www.inaturalist.org/observations/66298610,66298610,66298610,66298610,Halcyon albiventris albiventris,Southern Brown-hooded Kingfisher,Aves,625887,Halcyon albiventris,Animalia,research,66298610,Halcyon albiventris albiventris,Southern Brown-hooded Kingfisher,Aves,625887,Halcyon albiventris,Animalia,research,
63ad254e-d0aa-4ae8-9dee-fb5450645105,12/13/2020,2020-12-13 07:35:00 UTC,https://www.inaturalist.org/observations/66515966,https://inaturalist-open-data.s3.amazonaws.com/photos/107244573/medium.jpeg,,Garden Route Botanical Garden,-33.94697437,22.46453093,,George Greater Municipality and marine,Western Cape,South Africa,,https://www.inaturalist.org/observations/66515966,66515966,66515966,66515966,Halcyon albiventris albiventris,Southern Brown-hooded Kingfisher,Aves,625887,Halcyon albiventris,Animalia,research,66515966,Halcyon albiventris albiventris,Southern Brown-hooded Kingfisher,Aves,625887,Halcyon albiventris,Animalia,research,
