observed_on,time_zone,url,image_url,sound_url,positional_accuracy,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,captive_cultivated,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_species_name,predator_taxon_kingdom_name,predator_taxon_phylum_name,predator_taxon_subphylum_name,predator_taxon_superclass_name,predator_taxon_class_name,predator_taxon_subclass_name,predator_taxon_superorder_name,predator_taxon_order_name,predator_taxon_suborder_name,predator_taxon_superfamily_name,predator_taxon_family_name,predator_taxon_subfamily_name,predator_taxon_supertribe_name,predator_taxon_tribe_name,predator_taxon_subtribe_name,predator_taxon_genus_name,predator_taxon_genushybrid_name,predator_taxon_species_name,predator_taxon_hybrid_name,predator_taxon_subspecies_name,predator_taxon_variety_name,predator_taxon_form_name,predator_description,predator_agreements,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_species_name,prey_taxon_kingdom_name,prey_taxon_phylum_name,prey_taxon_subphylum_name,prey_taxon_superclass_name,prey_taxon_class_name,prey_taxon_subclass_name,prey_taxon_superorder_name,prey_taxon_order_name,prey_taxon_suborder_name,prey_taxon_superfamily_name,prey_taxon_family_name,prey_taxon_subfamily_name,prey_taxon_supertribe_name,prey_taxon_tribe_name,prey_taxon_subtribe_name,prey_taxon_genus_name,prey_taxon_genushybrid_name,prey_taxon_species_name,prey_taxon_hybrid_name,prey_taxon_subspecies_name,prey_taxon_variety_name,prey_taxon_form_name,prey_description,prey_agreements
2012-08-19,Central Time (US & Canada),http://conabio.inaturalist.org/observations/338604,https://inaturalist-open-data.s3.amazonaws.com/photos/421440/medium.jpg,,15.0,"Lecho seco del Nazas, Torreon, Coahuila, Mexico",25.557155,-103.453939,Fagáceas del Noreste de México ,Torreón,Coahuila,Mexico,"No, none of these",False,338604.0,Geococcyx californianus,Greater Roadrunner,Aves,Geococcyx californianus,Animalia,Chordata,Vertebrata,,Aves,,,Cuculiformes,,,Cuculidae,Neomorphinae,,,,Geococcyx,,Geococcyx californianus,,,,,"Correcaminos que atacó, cazó y se comió a un chilero joven <i>Passer domesticus</i> en el lecho seco del Río Nazas en Torreón, Coahuila.",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-10,Central Time (US & Canada),http://www.inaturalist.org/observations/424251,https://inaturalist-open-data.s3.amazonaws.com/photos/534568/medium.jpg,,,"554 N Main St, Buda, TX, US",30.085165,-97.840715,,Hays,Texas,United States,"No, none of these",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424251.0,Hemidactylus turcicus,Mediterranean House Gecko,Reptilia,Hemidactylus turcicus,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Gekkonidae,,,,,Hemidactylus,,Hemidactylus turcicus,,,,,Black and Yellow Argiope spider eating house lizard.,13.0
2013-07-02,Harare,http://www.inaturalist.org/observations/465679,https://inaturalist-open-data.s3.amazonaws.com/photos/587403/medium.jpg,,,"Mashonaland East, ZW",-17.6235693922,31.2169222415,,Goromonzi,Mashonaland East,Zimbabwe,,False,465679.0,Lutra capensis capensis,Cape Clawless Otter,Mammalia,Lutra capensis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Lutrinae,,,,Lutra,,Lutra capensis,,Lutra capensis capensis,,,a pair fishing in stream,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-08,Harare,http://www.inaturalist.org/observations/518909,https://inaturalist-open-data.s3.amazonaws.com/photos/661138/medium.JPG,,5391.0,Swakopmund,-22.873645,14.580917,,Walvisbay Rural,Erongo,Namibia,,False,518909.0,Chamaeleo namaquensis,Namaqua Chameleon,Reptilia,Chamaeleo namaquensis,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Chamaeleonidae,,,,,Chamaeleo,,Chamaeleo namaquensis,,,,,Namaqua Chameleon,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-15,Harare,http://www.inaturalist.org/observations/526854,https://inaturalist-open-data.s3.amazonaws.com/photos/670436/medium.jpg,,8.0,Matusadona National Park,-16.817815,28.44992,,Kariba,Mashonaland West,Zimbabwe,,False,526854.0,Psammophis mossambicus,Olive Whip Snake,Reptilia,Psammophis mossambicus,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Psammophiidae,,,,,Psammophis,,Psammophis mossambicus,,,,,"near chicken run/kitchen, caught 10 day old bantam chick",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,Harare,http://www.inaturalist.org/observations/608490,https://inaturalist-open-data.s3.amazonaws.com/photos/767186/medium.jpg,,,"TCT Dalmann Catapu, Mozambique",-18.086683,35.182027,,Cheringoma,Sofala,Mozambique,,False,608490.0,Philematium virens,,Insecta,Philematium virens,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Cerambycinae,,Callichromatini,,Philematium,,Philematium virens,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,Harare,http://www.inaturalist.org/observations/613295,https://inaturalist-open-data.s3.amazonaws.com/photos/773078/medium.jpg,,,"TCT Dalmann Catapu, Mozambique",-18.086715,35.18193,,Cheringoma,Sofala,Mozambique,,False,613295.0,Pedinorrhina trivittata,Yellowheart Fruit Chafer,Insecta,Pedinorrhina trivittata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Cetoniinae,,Goliathini,Coryphocerina,Pedinorrhina,,Pedinorrhina trivittata,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,Harare,http://www.inaturalist.org/observations/613368,https://inaturalist-open-data.s3.amazonaws.com/photos/773134/medium.jpg,,180.0,"TCT Dalmann Catapu, Mozambique",-18.040483,35.202191,,Cheringoma,Sofala,Mozambique,,False,613368.0,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,Papilio nireus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Papilionini,,Papilio,,Papilio nireus,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,Harare,http://www.inaturalist.org/observations/613370,https://inaturalist-open-data.s3.amazonaws.com/photos/773135/medium.jpg,,,"TCT Dalmann Catapu, Mozambique",-18.08496,35.182538,,Cheringoma,Sofala,Mozambique,,False,613370.0,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,Papilio nireus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Papilionini,,Papilio,,Papilio nireus,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,Harare,http://www.inaturalist.org/observations/746116,https://inaturalist-open-data.s3.amazonaws.com/photos/938004/medium.jpg,,,"Rifa Camp, Hurungwe Safari Area",-16.070109,28.869441,,Hurungwe,Mashonaland West,Zimbabwe,,False,746116.0,Tockus rufirostris,Southern Red-billed Hornbill,Aves,Tockus rufirostris,Animalia,Chordata,Vertebrata,,Aves,,,Bucerotiformes,,,Bucerotidae,,,,,Tockus,,Tockus rufirostris,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
