observed_on,time_zone,url,image_url,sound_url,positional_accuracy,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,captive_cultivated,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_species_name,predator_taxon_kingdom_name,predator_taxon_phylum_name,predator_taxon_subphylum_name,predator_taxon_superclass_name,predator_taxon_class_name,predator_taxon_subclass_name,predator_taxon_superorder_name,predator_taxon_order_name,predator_taxon_suborder_name,predator_taxon_superfamily_name,predator_taxon_family_name,predator_taxon_subfamily_name,predator_taxon_supertribe_name,predator_taxon_tribe_name,predator_taxon_subtribe_name,predator_taxon_genus_name,predator_taxon_genushybrid_name,predator_taxon_species_name,predator_taxon_hybrid_name,predator_taxon_subspecies_name,predator_taxon_variety_name,predator_taxon_form_name,predator_description,predator_agreements,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_species_name,prey_taxon_kingdom_name,prey_taxon_phylum_name,prey_taxon_subphylum_name,prey_taxon_superclass_name,prey_taxon_class_name,prey_taxon_subclass_name,prey_taxon_superorder_name,prey_taxon_order_name,prey_taxon_suborder_name,prey_taxon_superfamily_name,prey_taxon_family_name,prey_taxon_subfamily_name,prey_taxon_supertribe_name,prey_taxon_tribe_name,prey_taxon_subtribe_name,prey_taxon_genus_name,prey_taxon_genushybrid_name,prey_taxon_species_name,prey_taxon_hybrid_name,prey_taxon_subspecies_name,prey_taxon_variety_name,prey_taxon_form_name,prey_description,prey_agreements
2006-07-01,Eastern Time (US & Canada),http://www.inaturalist.org/observations/10686,https://static.inaturalist.org/photos/22224/medium.JPG,,6.0,Gough Island,-40.349431,-9.880431,,Tristan da Cunha,Tristan da Cunha,Saint Helena,"No, none of these",False,10686.0,Mus musculus,House Mouse,Mammalia,Mus musculus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,,Murini,,Mus,,Mus musculus,,,,,House mice on Gough Island have learnt to eat seabirds. Even Albatrosses are now threatened with extinction from mouse predation!,7.0,1766953.0,Pachyptila vittata,Broad-billed Prion,Aves,Pachyptila vittata,Animalia,Chordata,Vertebrata,,Aves,,,Procellariiformes,,,Procellariidae,,,,,Pachyptila,,Pachyptila vittata,,,,,,3.0
1988-07-13,Harare,http://www.inaturalist.org/observations/414645,https://inaturalist-open-data.s3.amazonaws.com/photos/521779/medium.jpg,,100.0,Mana Pools National Park,-15.836848,29.146428,,Hurungwe,Mashonaland West,Zimbabwe,,False,414645.0,Lycophidion capense,Cape Wolf Snake,Reptilia,Lycophidion capense,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Lamprophiidae,,,,,Lycophidion,,Lycophidion capense,,,,,found lying in open on short grass. Cause of death unknown but during latter part of night.Tail damaged which made subcaudal count inexact but 28 considered very close.,1.0,414707.0,Mochlus sundevallii,Sundevall's Writhing Skink,Reptilia,Mochlus sundevallii,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Lygosominae,,,,Mochlus,,Mochlus sundevallii,,,,,Refers to record of Cape Wolf Snake this date & locality. Found in snake's stomach,2.0
1988-07-13,Harare,http://www.inaturalist.org/observations/414707,https://inaturalist-open-data.s3.amazonaws.com/photos/521820/medium.jpg,,,Mana Pools National Park,-15.836848,29.146428,,Hurungwe,Mashonaland West,Zimbabwe,,False,414645.0,,Cape Wolf Snake,Reptilia,Lycophidion capense,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Lamprophiidae,,,,,Lycophidion,,Lycophidion capense,,,,,found lying in open on short grass. Cause of death unknown but during latter part of night.Tail damaged which made subcaudal count inexact but 28 considered very close.,1.0,414707.0,Mochlus sundevallii,Sundevall's Writhing Skink,Reptilia,Mochlus sundevallii,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Lygosominae,,,,Mochlus,,Mochlus sundevallii,,,,,Refers to record of Cape Wolf Snake this date & locality. Found in snake's stomach,2.0
1988-01-02,Harare,http://www.inaturalist.org/observations/509046,https://inaturalist-open-data.s3.amazonaws.com/photos/649315/medium.jpg,,10.0,Kariba,-16.533578,28.795252,,Kariba,Mashonaland West,Zimbabwe,,False,509046.0,Dendroaspis polylepis,Black Mamba,Reptilia,Dendroaspis polylepis,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Elapidae,,,,,Dendroaspis,,Dendroaspis polylepis,,,,,"
",8.0,66466454.0,Ploceus cucullatus,Village Weaver,Aves,Ploceus cucullatus,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Ploceidae,,,,,Ploceus,,Ploceus cucullatus,,,,,prey of mamba,1.0
2014-03-06,Harare,http://www.inaturalist.org/observations/673967,https://inaturalist-open-data.s3.amazonaws.com/photos/848814/medium.jpg,,50.0,"Rifa Camp, Hurungwe Safari Area",-16.06462,28.863959,,Hurungwe,Mashonaland West,Zimbabwe,,False,103137514.0,,,Insecta,Spilostethus macilentus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Lygaeinae,,,,Spilostethus,,Spilostethus macilentus,,,,,,2.0,673967.0,Elytraria acaulis,,Plantae,Elytraria acaulis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Acanthaceae,Nelsonioideae,,,,Elytraria,,Elytraria acaulis,,,,,,1.0
2014-08-28,Harare,http://www.inaturalist.org/observations/855273,https://inaturalist-open-data.s3.amazonaws.com/photos/1084105/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,855273.0,Zizeeria knysna,African Grass Blue,Insecta,Zizeeria knysna,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Zizeeriina,Zizeeria,,Zizeeria knysna,,,,,,3.0,66517113.0,Euphorbia graminea,Grassleaf Spurge,Plantae,Euphorbia graminea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,Euphorbioideae,,Euphorbieae,Euphorbiinae,Euphorbia,,Euphorbia graminea,,,,,supporting plant record for projects,1.0
2014-09-16,Harare,http://www.inaturalist.org/observations/893936,https://inaturalist-open-data.s3.amazonaws.com/photos/1136774/medium.jpg,,266.0,,-15.9260992601,29.1947189288,,Hurungwe,Mashonaland West,Zimbabwe,,False,894002.0,,Hooded Vulture,Aves,Necrosyrtes monachus,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aegypiinae,,,,Necrosyrtes,,Necrosyrtes monachus,,,,,,4.0,893936.0,Lycaon pictus pictus,Cape Wild Dog,Mammalia,Lycaon pictus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Lycaon,,Lycaon pictus,,Lycaon pictus pictus,,,"In 2nd photo, Hooded Vultures (Necrosyrtes monachus) rapidly devour dog's faeces. Dog initially chased off vultures but relented after 3rd go",2.0
2014-09-16,Harare,http://www.inaturalist.org/observations/894002,https://inaturalist-open-data.s3.amazonaws.com/photos/1136901/medium.jpg,,381.0,,-15.8749732285,29.0774220282,,Hurungwe,Mashonaland West,Zimbabwe,,False,894002.0,Necrosyrtes monachus,Hooded Vulture,Aves,Necrosyrtes monachus,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aegypiinae,,,,Necrosyrtes,,Necrosyrtes monachus,,,,,,4.0,893936.0,Lycaon pictus pictus,Cape Wild Dog,Mammalia,Lycaon pictus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Lycaon,,Lycaon pictus,,Lycaon pictus pictus,,,"In 2nd photo, Hooded Vultures (Necrosyrtes monachus) rapidly devour dog's faeces. Dog initially chased off vultures but relented after 3rd go",2.0
1983-10-01,Harare,http://www.inaturalist.org/observations/1031674,https://inaturalist-open-data.s3.amazonaws.com/photos/1294252/medium.jpg,,112.0,Sengwa Wildlife Research Area,-18.165303,28.223834,,Gokwe South,Midlands,Zimbabwe,,False,1031679.0,,Southern Lion,Mammalia,Panthera leo,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Pantherinae,,,,Panthera,,Panthera leo,,Panthera leo melanochaita,,,,3.0,1031674.0,Hippotragus niger niger,Southern Sable Antelope,Mammalia,Hippotragus niger,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Hippotragini,,Hippotragus,,Hippotragus niger,,Hippotragus niger niger,,,"Young of year, horns c.2 cm longer than ear, smooth down to skull",4.0
1983-10-01,Harare,http://www.inaturalist.org/observations/1031679,https://inaturalist-open-data.s3.amazonaws.com/photos/1294271/medium.jpg,,,"Gokwe South, ZW-MI, ZW",-18.0807692508,28.2635994446,,Gokwe South,Midlands,Zimbabwe,,False,1031679.0,Panthera leo melanochaita,Southern Lion,Mammalia,Panthera leo,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Pantherinae,,,,Panthera,,Panthera leo,,Panthera leo melanochaita,,,,3.0,1031674.0,Hippotragus niger niger,Southern Sable Antelope,Mammalia,Hippotragus niger,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Hippotragini,,Hippotragus,,Hippotragus niger,,Hippotragus niger niger,,,"Young of year, horns c.2 cm longer than ear, smooth down to skull",4.0
