scientific_name,common_name,iconic_taxon_name,taxon_kingdom,taxon_species,taxon_phylum,taxon_subphylum,taxon_superclass,taxon_class,taxon_subclass,taxon_superorder,taxon_order,taxon_suborder,taxon_superfamily,taxon_family,taxon_subfamily,taxon_supertribe,taxon_tribe,taxon_subtribe,taxon_genus,taxon_genushybrid,taxon_hybrid,taxon_subspecies,taxon_variety,taxon_form
Abantis paradisea,Paradise Skipper,Insecta,Animalia,Abantis paradisea,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Tagiadinae,,Tagiadini,,Abantis,,,,,
Abisares viridipennis,Notched Shield Grasshopper,Insecta,Animalia,Abisares viridipennis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Caelifera,Acridoidea,Acrididae,Catantopinae,,,,Abisares,,,,,
Abramis brama,Common Bream,Actinopterygii,Animalia,Abramis brama,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Leuciscidae,Leuciscinae,,,,Abramis,,,,,
Abrus laevigatus,Lucky Bean,Plantae,Plantae,Abrus laevigatus,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Abreae,,Abrus,,,,,
Acalitus mallyi,Mispel Leaf Gall Mite,Arachnida,Animalia,Acalitus mallyi,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,Endeostigmata,Eriophyoidea,Eriophyidae,Eriophyinae,,Aceriini,,Acalitus,,,,,
Acanalonia conica,Green Cone-headed Planthopper,Insecta,Animalia,Acanalonia conica,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Fulgoroidea,Acanaloniidae,,,,,Acanalonia,,,,,
Acanthacris ruficornis,Garden Locust,Insecta,Animalia,Acanthacris ruficornis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Caelifera,Acridoidea,Acrididae,Cyrtacanthacridinae,,,,Acanthacris,,,,,
Acanthocephala terminalis,,Insecta,Animalia,Acanthocephala terminalis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Coreidae,Coreinae,,Acanthocephalini,,Acanthocephala,,,,,
Acanthocercus atricollis,Southern Tree Agama,Reptilia,Animalia,Acanthocercus atricollis,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Agamidae,Agaminae,,,,Acanthocercus,,,,,
Acanthogobius flavimanus,Yellowfin Goby,Actinopterygii,Animalia,Acanthogobius flavimanus,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Gobiiformes,Gobioidei,,Oxudercidae,Gobionellinae,,,,Acanthogobius,,,,,
