predator_scientific_name,prey_scientific_name,observed_on,time_zone,image_url,sound_url,positional_accuracy,place,place_town,place_county,place_state,place_country,latitude,longitude,type_of_feeding,url,captive_cultivated,description,prey_agreements,predator_agreements
Mus musculus,Pachyptila vittata,2006-07-01,Eastern Time (US & Canada),https://static.inaturalist.org/photos/22224/medium.JPG,,6.0,Gough Island,,Tristan da Cunha,Tristan da Cunha,Saint Helena,-40.349431,-9.880431,"No, none of these",http://www.inaturalist.org/observations/10686,False,,3.0,7.0
Lycophidion capense,Mochlus sundevallii,1988-07-13,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/521779/medium.jpg,,100.0,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-15.836848,29.146428,,http://www.inaturalist.org/observations/414645,False,,2.0,1.0
Lycophidion capense,Mochlus sundevallii,1988-07-13,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/521820/medium.jpg,,,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-15.836848,29.146428,,http://www.inaturalist.org/observations/414707,False,,2.0,1.0
Dendroaspis polylepis,Ploceus cucullatus,1988-01-02,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/649315/medium.jpg,,10.0,Kariba,,Kariba,Mashonaland West,Zimbabwe,-16.533578,28.795252,,http://www.inaturalist.org/observations/509046,False,,1.0,8.0
Spilostethus macilentus,Elytraria acaulis,2014-03-06,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/848814/medium.jpg,,50.0,"Rifa Camp, Hurungwe Safari Area",,Hurungwe,Mashonaland West,Zimbabwe,-16.06462,28.863959,,http://www.inaturalist.org/observations/673967,False,,1.0,2.0
Zizeeria knysna,Euphorbia graminea,2014-08-28,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1084105/medium.jpg,,,"Harare, Zimbabwe",,Harare,Harare,Zimbabwe,-17.81164,31.080963,,http://www.inaturalist.org/observations/855273,False,,1.0,3.0
Necrosyrtes monachus,Lycaon pictus pictus,2014-09-16,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1136774/medium.jpg,,266.0,,,Hurungwe,Mashonaland West,Zimbabwe,-15.9260992601,29.1947189288,,http://www.inaturalist.org/observations/893936,False,,2.0,4.0
Necrosyrtes monachus,Lycaon pictus pictus,2014-09-16,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1136901/medium.jpg,,381.0,,,Hurungwe,Mashonaland West,Zimbabwe,-15.8749732285,29.0774220282,,http://www.inaturalist.org/observations/894002,False,,2.0,4.0
Panthera leo,Hippotragus niger niger,1983-10-01,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1294252/medium.jpg,,112.0,Sengwa Wildlife Research Area,,Gokwe South,Midlands,Zimbabwe,-18.165303,28.223834,,http://www.inaturalist.org/observations/1031674,False,,4.0,3.0
Panthera leo melanochaita,Hippotragus niger niger,1983-10-01,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1294271/medium.jpg,,,"Gokwe South, ZW-MI, ZW",,Gokwe South,Midlands,Zimbabwe,-18.0807692508,28.2635994446,,http://www.inaturalist.org/observations/1031679,False,,4.0,3.0
Panthera leo,Syncerus caffer caffer,1989-06-16,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1328444/medium.jpg,,762.0,,,Hurungwe,Mashonaland West,Zimbabwe,-15.8445734376,29.1981681156,,http://www.inaturalist.org/observations/1059442,False,,2.0,5.0
Panthera leo melanochaita,Syncerus caffer caffer,1989-06-16,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1328462/medium.jpg,,,,,Hurungwe,Mashonaland West,Zimbabwe,-15.9224659673,29.1488457964,,http://www.inaturalist.org/observations/1059454,False,,2.0,5.0
Gyps rueppelli,Syncerus caffer caffer,1989-02-02,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1339178/medium.jpg,,12674.0,"Narok, KE",,Narok old,Rift Valley,Kenya,-1.559196329,34.9379081719,,http://www.inaturalist.org/observations/1068273,False,,3.0,1.0
Gyps africanus,Syncerus caffer caffer,1989-02-02,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/1339207/medium.jpg,,,"Narok, KE",,Narok old,Rift Valley,Kenya,-1.5230151151,34.8013802916,,http://www.inaturalist.org/observations/1068300,False,,3.0,2.0
