chain,len
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa -> Sympetrum fonscolombii,6
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Belenois creona severina -> Cynanchum viminale,5
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Belenois creona severina -> Justicia flava,5
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Belenois creona severina -> Solanum seaforthianum,5
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Mikania natalensis,5
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Senecio polyanthemoides,5
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Sida cordifolia cordifolia,5
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Tridax procumbens,5
Lippia javanica -> Mylothris agathina agathina -> Chromolaena odorata -> Telchinia serena -> Waltheria indica,5
Melanerpes lewis -> Bombus griseocollis -> Asclepias speciosa -> Papilio rutulus -> Iris missouriensis,5
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Ilex vomitoria,5
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa,5
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Prunus virginiana,5
Pantherophis spiloides -> Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Rhamnus cathartica,5
Pica hudsonia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa -> Sympetrum fonscolombii,5
Piranga olivacea -> Vespa crabro -> Promachus hinei -> Erythemis simplicicollis -> Celithemis fasciata,5
Piranga olivacea -> Vespa crabro -> Promachus hinei -> Erythemis simplicicollis -> Pachydiplax longipennis,5
Piranga olivacea -> Vespa crabro -> Promachus hinei -> Erythemis simplicicollis -> Perithemis tenera,5
Spinus tristis tristis -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa -> Sympetrum fonscolombii,5
Strix varia -> Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa -> Sympetrum fonscolombii,5
Afrogegenes -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Populus deltoides,5
Afrogegenes -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Salix babylonica,5
Afrogegenes -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Vangueria vestita,5
Belenois creona severina -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Populus deltoides,5
Belenois creona severina -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Salix babylonica,5
Belenois creona severina -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Vangueria vestita,5
Delta fenestrale -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Populus deltoides,5
Delta fenestrale -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Salix babylonica,5
Delta fenestrale -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Vangueria vestita,5
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Populus deltoides,5
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Salix babylonica,5
Telchinia serena -> Chromolaena odorata -> Mylothris agathina agathina -> Globimetula mweroensis -> Vangueria vestita,5
Tamiasciurus hudsonicus -> Turdus migratorius -> Mantis religiosa -> Sympetrum fonscolombii,4
Telchinia serena -> Chromolaena odorata -> Belenois creona severina -> Cynanchum viminale,4
Telchinia serena -> Chromolaena odorata -> Belenois creona severina -> Justicia flava,4
Telchinia serena -> Chromolaena odorata -> Belenois creona severina -> Solanum seaforthianum,4
